City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Fundong,6.25,10.2667,58.98,96,82,2.24,CM,1632175158
Naryan-Mar,67.6713,53.087,38.75,88,100,12.1,RU,1632175159
Krasnosel'kup,65.7,82.4667,29.73,93,99,15.39,RU,1632175160
‘Āhuimanu,21.4447,-157.8378,80.31,69,75,12.66,US,1632174964
At-Bashi,41.1702,75.8106,47.32,33,0,0.96,KG,1632175160
Tocopilla,-22.092,-70.1979,63.07,75,100,9.08,CL,1632175161
Hamilton,39.1834,-84.5333,74.17,94,90,8.05,US,1632174897
Aras,42.5617,-2.356,52.21,88,75,6.91,ES,1632175161
Khandyga,62.6667,135.6,33.82,97,100,1.01,RU,1632175162
Talāja,21.35,72.05,78.71,89,100,8.48,IN,1632175162
Kumul,42.8,93.45,73.54,28,100,3.09,CN,1632175163
Puerto Colombia,10.9878,-74.9547,82.49,73,100,12.33,CO,1632175163
Arman',59.7,150.1667,41.97,78,90,11.14,RU,1632175164
Lohja,60.2486,24.0653,40.78,82,100,5.95,FI,1632175164
Black River,18.0264,-77.8487,86.0,70,82,1.7,JM,1632175165
Muravlenko,63.7898,74.523,34.57,97,100,16.67,RU,1632175165
Luwuk,-0.9516,122.7875,75.99,92,100,3.31,ID,1632175166
Harper,4.375,-7.7169,77.27,86,44,6.62,LR,1632175166
Mezen',65.8522,44.24,33.35,89,41,1.01,RU,1632175167
Qaqortoq,60.7167,-46.0333,37.71,67,0,4.92,GL,1632175167
Mayo,38.8876,-76.5119,77.16,57,48,15.12,US,1632175168
Kismayo,-0.3582,42.5454,76.77,82,9,16.4,SO,1632175168
Okhotsk,59.3833,143.3,45.88,64,96,8.08,RU,1632175169
Oussouye,12.485,-16.5469,81.12,84,72,5.44,SN,1632175169
São João da Barra,-21.6403,-41.0511,75.29,85,4,16.53,BR,1632175169
Mil'kovo,54.7167,158.6167,41.85,96,100,5.32,RU,1632175170
Trincomalee,8.5711,81.2335,79.59,82,99,12.57,LK,1632175170
‘Ewa Beach,21.3156,-158.0072,83.57,57,1,16.11,US,1632174904
Pacific Grove,36.6177,-121.9166,90.0,64,0,8.48,US,1632175171
Santa Maria,-29.6842,-53.8069,76.3,83,75,4.61,BR,1632175171
Vic,41.9271,2.2497,54.7,93,100,1.01,ES,1632175172
Laufen,47.95,12.9333,53.58,87,75,0.0,DE,1632175172
San Javier,37.8063,-0.8374,76.71,73,40,6.91,ES,1632175173
Marathon,44.9,-89.7668,75.15,78,40,14.97,US,1632175173
Voh,-20.9667,164.7,74.77,52,25,6.93,NC,1632175174
Werda,-25.2667,23.2833,57.58,25,0,13.2,BW,1632175174
Batasan,12.7667,120.7833,79.54,80,80,2.44,PH,1632175175
Baturaja,-4.1333,104.1667,72.64,95,82,1.12,ID,1632175175
Peñón Blanco,24.7897,-104.0369,80.87,35,64,7.58,MX,1632175176
Ballina,-28.8667,153.5667,66.16,68,75,14.97,AU,1632175107
Vadsø,70.0744,29.7487,42.96,61,0,20.71,NO,1632175176
Morozovsk,48.3539,41.8261,59.61,72,35,7.0,RU,1632175177
Honiara,-9.4333,159.95,83.19,72,8,6.35,SB,1632175177
Poya,-21.35,165.15,72.63,58,65,6.44,NC,1632175178
Mount Gambier,-37.8333,140.7667,40.91,87,75,6.91,AU,1632175178
Necochea,-38.5473,-58.7368,48.61,76,0,13.62,AR,1632175067
Storsteinnes,69.2408,19.2344,44.6,80,1,7.87,NO,1632175179
Anan,33.9167,134.65,73.18,78,60,10.13,JP,1632175179
Panacan,9.2463,118.4082,77.85,85,99,1.16,PH,1632175180
Coyhaique,-45.5752,-72.0662,55.35,47,20,6.91,CL,1632175180
Örnsköldsvik,63.2909,18.7153,42.62,93,90,2.3,SE,1632175181
Krasnaya Polyana,56.242,51.1442,34.66,82,94,5.39,RU,1632175181
Amapala,13.2922,-87.6539,86.68,67,18,8.77,HN,1632175182
Valparaíso,-33.0393,-71.6273,71.24,46,0,17.27,CL,1632174997
Chapais,49.7834,-74.8492,74.98,39,6,10.22,CA,1632175182
Tyup,42.7276,78.3648,51.87,46,1,4.27,KG,1632175183
Talnakh,69.4865,88.3972,31.42,85,86,3.71,RU,1632175183
Bethanien,-26.502,17.1583,54.23,40,0,5.77,NA,1632175184
Hobyo,5.3505,48.5268,76.68,86,23,21.81,SO,1632175184
The Valley,18.217,-63.0578,85.86,79,20,8.05,AI,1632174909
Xianyang,34.3378,108.7026,58.24,94,0,2.24,CN,1632175185
Zandvoort,52.3749,4.5341,60.75,93,0,3.44,NL,1632175185
Srednekolymsk,67.45,153.6833,29.98,71,98,16.37,RU,1632175186
Bandarbeyla,9.4942,50.8122,77.23,84,90,26.73,SO,1632175186
Tual,-5.6667,132.75,80.64,81,100,14.09,ID,1632175186
Edd,13.9297,41.6925,87.46,69,100,7.18,ER,1632175187
Jijiga,9.35,42.8,63.1,89,22,7.27,ET,1632175187
San Angelo,31.4638,-100.437,100.58,18,70,13.69,US,1632175188
La Libertad,-2.2333,-80.9,71.26,83,90,14.97,EC,1632175188
Teahupoo,-17.8333,-149.2667,78.76,73,19,13.98,PF,1632175189
Maţāy,28.419,30.7792,83.25,38,0,16.87,EG,1632175189
Zheleznodorozhnyy,55.7503,38.0042,43.32,93,100,14.07,RU,1632175190
Yumen,40.2833,97.2,63.75,21,11,6.8,CN,1632175190
Rajanpur,29.1035,70.325,92.19,39,71,1.3,PK,1632175191
Leningradskiy,69.3833,178.4167,24.73,82,100,10.25,RU,1632175191
Barguzin,53.6167,109.6167,52.02,85,22,0.94,RU,1632175191
Teya,60.3778,92.6267,32.72,99,73,4.45,RU,1632175192
Mana,5.6592,-53.7767,81.09,81,57,10.71,GF,1632175192
Toora-Khem,52.4675,96.11,27.97,95,83,1.21,RU,1632175193
Dudinka,69.4058,86.1778,30.0,84,100,10.98,RU,1632175193
Bilibino,68.0546,166.4372,21.34,76,67,5.17,RU,1632175194
Loandjili,-4.7561,11.8578,77.11,83,75,9.22,CG,1632175194
Namwala,-15.7504,26.4384,70.45,32,0,4.45,ZM,1632175194
Anchorage,61.2181,-149.9003,48.96,75,100,12.75,US,1632175049
Elko,41.0002,-115.5012,62.26,18,1,2.77,US,1632175195
Priargunsk,50.3691,119.1012,46.85,82,100,4.18,RU,1632175196
Isiro,2.7739,27.616,66.87,99,86,1.86,CD,1632175197
Navalmoral de la Mata,39.8916,-5.5406,67.91,38,13,6.51,ES,1632175197
Āmol,36.4696,52.3507,69.37,90,1,5.39,IR,1632175198
Keti Bandar,24.1447,67.4497,82.56,83,42,18.45,PK,1632175198
Samoded,63.6083,40.5111,30.43,94,7,3.53,RU,1632175199
Beroroha,-21.6667,45.1667,68.99,57,12,3.09,MG,1632175199
Zhoucheng,35.9122,116.3117,61.79,93,0,6.11,CN,1632175200
Arona,28.0996,-16.681,68.52,57,20,14.97,ES,1632175200
Deputatsky,69.3,139.9,20.97,85,51,3.65,RU,1632175201
Laurel,39.0993,-76.8483,81.09,56,40,11.5,US,1632175006
Olinda,-8.0089,-34.8553,76.73,61,0,9.22,BR,1632175202
Chunskiy,56.0815,99.6342,35.6,97,29,3.87,RU,1632175203
Kashgar,39.4547,75.9797,70.21,16,1,5.64,CN,1632175204
Qandala,11.472,49.8728,87.28,64,3,2.66,SO,1632175204
Husavik,66.0449,-17.3389,40.64,94,100,17.78,IS,1632175205
Dobson,36.3957,-80.7226,77.0,65,1,8.05,US,1632175206
Safi,32.2994,-9.2372,69.58,86,30,14.81,MA,1632175206
Haileybury,47.449,-79.6373,71.67,46,86,9.82,CA,1632175207
Bāfq,31.6128,55.4107,80.58,13,16,1.25,IR,1632175207
Vestmannaeyjar,63.4427,-20.2734,49.33,73,100,15.9,IS,1632175208
Maraã,-1.8333,-65.3667,82.49,68,84,3.74,BR,1632175208
Lisala,2.15,21.5167,75.11,78,94,1.77,CD,1632175209
Kayerkan,69.3497,87.7602,30.4,91,97,9.04,RU,1632175210
Vanderhoof,54.0166,-124.0198,53.31,67,100,10.85,CA,1632175210
Ulaangom,49.9811,92.0667,40.17,63,2,2.1,MN,1632175197
Kununurra,-15.7667,128.7333,71.58,68,54,3.44,AU,1632175211
Divnomorskoye,44.5011,38.1353,64.85,86,15,2.89,RU,1632175211
Rūdsar,37.1376,50.288,70.63,88,6,4.59,IR,1632175212
Pozo Colorado,-23.4923,-58.7972,94.98,14,38,4.09,PY,1632175212
Sattahip,12.6664,100.9007,77.09,94,75,6.91,TH,1632175213
Barabai,-2.5833,115.3833,73.4,95,100,1.07,ID,1632175213
Mananara,-16.1667,49.7667,67.91,85,90,4.72,MG,1632175214
Klyuchi,52.2667,79.1667,35.31,80,33,8.43,RU,1632175214
Wuwei,37.9281,102.6414,60.75,29,1,4.38,CN,1632175215
Georgiyevka,43.0369,74.7114,46.44,76,20,0.0,KZ,1632175216
Merke,42.8728,73.1786,58.01,36,1,1.81,KZ,1632175216
Zhumadian,32.9794,114.0294,70.34,77,0,11.72,CN,1632175216
Bonoua,5.2741,-3.595,74.91,94,45,4.43,CI,1632175217
Sendafa,9.15,39.0333,52.77,76,89,3.18,ET,1632175218
Ajdabiya,30.7554,20.2263,84.45,31,0,10.92,LY,1632175218
Pemangkat,1.1667,108.9667,77.88,87,100,5.55,ID,1632175219
Semnan,35.5729,53.3971,76.21,22,0,5.23,IR,1632175219
Shenjiamen,29.9576,122.298,72.75,86,45,5.59,CN,1632175220
Karpogory,64.0019,44.4451,31.68,92,8,2.42,RU,1632175220
Barra de Tecoanapa,16.5167,-98.75,85.32,65,13,7.87,MX,1632175221
Narsaq,60.9167,-46.05,36.3,64,1,4.25,GL,1632175221
Mahibadhoo,3.7833,72.9667,82.29,75,19,11.61,MV,1632175222
Tena,-0.9833,-77.8167,86.16,67,91,2.04,EC,1632175193
Kavaratti,10.5669,72.642,81.32,79,99,11.9,IN,1632175223
Znamenskoye,57.1281,73.8282,37.26,96,100,10.16,RU,1632175223
Vilhena,-12.7406,-60.1458,85.48,28,19,3.15,BR,1632175224
Luganville,-15.5333,167.1667,77.45,75,62,11.68,VU,1632175224
Nantucket,41.2835,-70.0995,66.54,61,0,12.39,US,1632175088
Jumla,29.2747,82.1838,60.06,94,98,0.58,NP,1632175225
Teknāf,20.8624,92.3058,77.32,91,82,5.14,BD,1632175226
Morro Bay,35.3658,-120.8499,75.69,48,0,4.61,US,1632175064
Manado,1.487,124.8455,74.17,100,20,0.0,ID,1632175226
Tiznit Province,29.5833,-9.5,64.4,76,11,3.29,MA,1632175227
Bartica,6.4,-58.6167,76.93,93,98,2.46,GY,1632175227
Troitskoye,52.9821,84.6757,38.91,82,100,11.25,RU,1632175227
Ignacio Zaragoza,28.3833,-107.2167,76.55,34,100,9.33,MX,1632175228
Margate,51.3813,1.3862,55.26,83,5,7.94,GB,1632175228
Hirara,24.8,125.2833,80.87,94,40,4.61,JP,1632175229
Dongning,44.0622,131.1207,57.97,99,100,8.79,CN,1632175229
Mlonggo,-6.5333,110.7,76.89,77,100,4.27,ID,1632175230
Río Gallegos,-51.6226,-69.2181,52.97,56,100,9.53,AR,1632175230
Artigas,-30.4,-56.4667,64.53,90,63,16.53,UY,1632175231
Vanimo,-2.6741,141.3028,78.84,85,100,3.76,PG,1632175231
Paraná,-31.732,-60.5238,68.38,60,28,15.43,AR,1632175232
Ilebo,-4.3167,20.5833,76.55,61,50,0.96,CD,1632175232
Adrar,20.5022,-10.0711,94.28,21,7,14.43,MR,1632175233
Yar-Sale,66.8333,70.8333,36.07,98,100,12.71,RU,1632175233
Itararé,-24.1125,-49.3317,77.86,48,5,4.03,BR,1632175234
Amarante do Maranhão,-5.5667,-46.7422,89.82,30,61,6.71,BR,1632175235
Bar Harbor,44.3876,-68.2039,57.56,74,0,5.97,US,1632175235
Reconquista,-29.15,-59.65,67.62,80,92,18.14,AR,1632175158
Road Town,18.4167,-64.6167,84.24,84,40,6.91,VG,1632175236
Nyurba,63.2842,118.3319,29.28,79,99,6.31,RU,1632175236
Emboscada,-25.15,-57.35,91.49,21,15,2.44,PY,1632175237
Araouane,18.9048,-3.5265,97.92,12,12,7.72,ML,1632175237
Qasigiannguit,68.8193,-51.1922,28.65,81,99,4.61,GL,1632175238
Waipawa,-41.4122,175.5153,54.23,64,77,23.02,NZ,1632175238
Sabha,27.0377,14.4283,83.86,18,0,11.07,LY,1632175239
Ust'-Koksa,50.2696,85.6108,27.25,70,9,2.19,RU,1632175240
Lago da Pedra,-4.3333,-45.1667,82.0,59,95,5.41,BR,1632175240
Hoa Binh,20.8133,105.3383,74.98,96,8,2.1,VN,1632175241
Dunedin,-45.8742,170.5036,56.43,60,100,8.08,NZ,1632175242
Nelson Bay,-32.7167,152.15,55.45,63,40,15.9,AU,1632175243
Henties Bay,-22.116,14.2845,54.86,87,0,5.46,NA,1632175244
Havelock,34.8791,-76.9013,77.59,68,100,9.69,US,1632175245
Coquimbo,-29.9533,-71.3436,59.92,68,0,6.69,CL,1632175246
Lewistown,40.5992,-77.5714,74.61,68,85,0.0,US,1632175247
Tezu,27.9167,96.1667,73.36,84,49,4.12,IN,1632175247
Morón,-34.6534,-58.6198,61.02,67,92,11.99,AR,1632175248
Ishigaki,24.3448,124.1572,83.53,78,9,10.29,JP,1632175249
Tagusao,9.1924,117.8141,78.4,78,75,3.67,PH,1632175250
Malakal,9.5334,31.6605,71.62,96,97,5.3,SS,1632175251
Ingham,42.6,-84.3833,76.95,78,40,11.5,US,1632175252
Bereda,43.2686,-7.5406,56.95,83,55,3.76,ES,1632175253
Assaí,-23.3733,-50.8414,84.09,29,3,3.2,BR,1632175253
Lubango,-14.9172,13.4925,65.82,39,25,3.67,AO,1632175254
Bad Doberan,54.1071,11.9005,50.32,68,63,5.64,DE,1632175255
Praia,14.9215,-23.5087,80.74,88,64,8.23,CV,1632175256
Alta Floresta,-9.8756,-56.0861,90.7,26,70,1.45,BR,1632175257
Meadow Lake,34.8014,-106.5436,86.77,14,0,9.44,US,1632175250
Constitución,-35.3333,-72.4167,55.69,68,0,14.09,CL,1632175258
Nouadhibou,20.931,-17.0347,73.51,75,4,21.14,MR,1632175259
Pangody,65.85,74.4859,35.11,97,100,14.12,RU,1632175260
Vredendal,-31.6683,18.5012,51.39,61,0,5.82,ZA,1632175261
Rodolfo Sánchez Taboada,31.7167,-116.5667,76.57,59,2,7.61,MX,1632175262
Toribío,2.9548,-76.2684,74.66,83,89,0.85,CO,1632175262
Tara,56.8944,74.371,37.67,97,100,9.8,RU,1632175263
Maniitsoq,65.4167,-52.9,33.98,64,71,7.83,GL,1632175263
Pierre,44.3683,-100.351,71.4,25,89,17.96,US,1632175094
Poum,-20.2333,164.0167,72.12,68,87,18.97,NC,1632175264
Prachuap Khiri Khan,12.2167,99.75,71.29,95,100,2.04,TH,1632175265
Rock Sound,24.9,-76.2,83.75,72,11,11.27,BS,1632175219
Oriximiná,-1.7656,-55.8661,81.0,70,83,7.61,BR,1632175265
Dubbo,-32.25,148.6167,41.13,75,90,20.71,AU,1632175002
Antofagasta,-23.65,-70.4,59.14,78,100,6.31,CL,1632175266
Cheyenne,41.14,-104.8203,57.34,30,75,20.71,US,1632175267
